feat,imp
ratio_click_of_creative_is_download_in_province,17
campaign_id,17
ratio_click_of_creative_type_in_nnt,17
ratio_click_of_creative_type_in_advert_id,17
ratio_click_of_creative_id_in_creative_tp_dnf,16
ratio_click_of_hour_in_carrier,16
ratio_click_of_advert_name_in_make,16
ratio_click_of_f_channel_in_inner_slot_id,16
ratio_click_of_campaign_id_in_nnt,16
ratio_click_of_osv_in_f_channel,16
ratio_click_of_adid_in_make,16
ratio_click_of_creative_is_download_in_inner_slot_id,16
creative_width,16
ratio_click_of_model_in_app_cate_id,15
ratio_click_of_app_cate_id_in_adid,15
ratio_click_of_nnt_in_creative_tp_dnf,15
ratio_click_of_inner_slot_id_in_province,15
ratio_click_of_city_in_adid,15
ratio_click_of_nnt_in_advert_industry_inner,15
ratio_click_of_app_id_in_advert_industry_inner,15
advert_name,15
ratio_click_of_app_id_in_orderid,15
ratio_click_of_city_in_app_id,14
ratio_click_of_devtype_in_city,14
ratio_click_of_advert_name_in_city,14
ratio_click_of_campaign_id_in_app_cate_id,14
ratio_click_of_app_id_in_creative_height,14
ratio_click_of_orderid_in_campaign_id,14
ratio_click_of_advert_id_in_nnt,14
ratio_click_of_creative_is_download_in_hour,14
ratio_click_of_hour_in_advert_name,14
ratio_click_of_orderid_in_osv,14
ratio_click_of_city_in_inner_slot_id,14
ratio_click_of_nnt_in_advert_id,14
ratio_click_of_hour_in_creative_height,13
ratio_click_of_advert_name_in_app_cate_id,13
ratio_click_of_nnt_in_f_channel,13
ratio_click_of_make_in_creative_height,13
ratio_click_of_devtype_in_make,13
ratio_click_of_advert_name_in_f_channel,13
ratio_click_of_adid_in_province,13
ratio_click_of_osv_in_creative_type,13
ratio_click_of_advert_industry_inner_in_creative_tp_dnf,13
creative_tp_dnf,13
ratio_click_of_creative_is_download_in_osv,13
ratio_click_of_carrier_in_advert_id,13
ratio_click_of_app_cate_id_in_creative_height,13
ratio_click_of_campaign_id_in_city,13
ratio_click_of_city_in_nnt,13
ratio_click_of_nnt_in_campaign_id,13
ratio_click_of_os_in_orderid,13
ratio_click_of_devtype_in_creative_id,13
ratio_click_of_adid_in_nnt,12
